"Date/Time Opened"	"Case Number"	"Account Name"	"SIS (Student Information System)"	"CE Functional Area"	"CE Category"	"Subject"	"Case Date/Time Last Modified"	"Date/Time Grabbed"	"Date/Time Closed"	"Case Owner"	"Status"
"3/24/2021 11:50 AM"	4873768	"Walnut Creek School District"	"Aeries"			"Teacher Accounts Are Being Imported As Staff"	"5/4/2021 3:57 PM"	"3/24/2021 11:50 AM"	"4/10/2021 2:17 PM"	"Alejandro Hassan"	"Closed"
"4/9/2021 10:04 AM"	4882708	"Lake Dallas Ind School Dist"	"Skyward"			"Teacher Account issue"	"5/15/2021 10:18 AM"	"4/9/2021 10:07 AM"	"4/15/2021 10:16 AM"	"Alejandro Hassan"	"Closed"
"4/7/2021 11:55 AM"	4881408	"Newport-Mesa Unified School District"	"Aeries"			"Missing Account"	"5/15/2021 10:18 AM"	"4/7/2021 11:55 AM"	"4/15/2021 10:09 AM"	"Alejandro Hassan"	"Closed"
"4/13/2021 10:33 AM"	4884332	"Bladen County School District"	"PowerSchool-API"			"FW: Data pull from PowerSchool"	"5/21/2021 9:48 AM"	"4/13/2021 11:10 AM"	"4/21/2021 9:43 AM"	"Alejandro Hassan"	"Closed"
"4/12/2021 8:27 PM"	4884021	"Anaheim Elementary School District"	"Aeries"			"Questions About Editing Groups and Creating Cohort Groups Using Imported Student Data"	"5/3/2021 1:34 PM"	"4/12/2021 8:27 PM"	"4/26/2021 2:52 PM"	"Alejandro Hassan"	"Closed"
"4/16/2021 9:27 AM"	4886558	"Bladen County School District"	"PowerSchool-API"			"Removing duplicate accounts in Bb Mass Comms"	"4/29/2021 2:03 PM"	"4/16/2021 9:42 AM"	"4/29/2021 2:03 PM"	"Alejandro Hassan"	"Closed"
"5/12/2021 1:33 PM"	4902069	"Marion County School District"	"PowerSchool-API"			"Parent accounts missing"	"5/22/2021 11:18 AM"	"5/12/2021 1:33 PM"	"5/22/2021 11:18 AM"	"Alejandro Hassan"	"Closed"
"4/27/2021 4:37 PM"	4892824	"Bellevue Union School District"	"Aeries"			"Custom Groups by Rules"	"4/29/2021 3:05 PM"	"4/27/2021 4:46 PM"	"4/29/2021 2:22 PM"	"Alejandro Hassan"	"Closed"
"4/28/2021 5:16 PM"	4893687	"San Juan Island Sch Dist 149"	"Other"			"Students changing Classroom issue in Parent Link"	"5/13/2021 11:18 AM"	"4/29/2021 8:21 AM"	"5/13/2021 11:17 AM"	"Alejandro Hassan"	"Closed"
"4/29/2021 11:54 AM"	4894163	"Proviso Twp High Sch Dist 209"	"PowerSchool-API"			"Update Spanish Language preferred indicator"	"5/20/2021 9:32 AM"	"4/29/2021 1:08 PM"	"5/20/2021 9:32 AM"	"Alejandro Hassan"	"Closed"
"5/13/2021 2:04 PM"	4903158	"Worthington City Schools"	"Infinite Campus"			"Mass Notification Update"	"5/24/2021 9:37 AM"	"5/13/2021 4:10 PM"	"5/24/2021 9:37 AM"	"Alejandro Hassan"	"Closed"
"6/2/2021 1:01 PM"	4914990	"Del Norte Co Unified Sch Dist"	"Aeries"			"Parent accounts"	"6/12/2021 5:18 PM"	"6/2/2021 1:01 PM"	"6/12/2021 5:18 PM"	"Alejandro Hassan"	"Closed"
"6/4/2021 1:00 PM"	4916670	"Sioux Falls School District 49-5"	"Infinite Campus"			"Importing New Custom Groups"	"6/19/2021 4:48 PM"	"6/4/2021 1:00 PM"	"6/19/2021 4:47 PM"	"Alejandro Hassan"	"Closed"
"6/11/2021 8:09 AM"	4921089	"Northwest School District R1"	"Infinite Campus"			"Import Summer School Information"	"6/25/2021 3:42 PM"	"6/11/2021 8:18 AM"	"6/25/2021 3:41 PM"	"Alejandro Hassan"	"Solution Suggested"
"5/5/2021 3:16 PM"	4897679	"Clint Independent School District"	"Skyward"			"Data sources"	"6/15/2021 10:19 AM"	"5/5/2021 3:16 PM"	"6/15/2021 10:19 AM"	"Alejandro Hassan"	"Solution Suggested"
"5/19/2021 10:58 AM"	4906149	"Higley Unified School District"	"Synergy"			"Possibly changing query/pulling SMS numbers"	"6/10/2021 3:00 PM"	"5/19/2021 10:58 AM"	"6/9/2021 1:08 PM"	"Alexander Rodriguez"	"Closed"
"6/8/2021 12:45 PM"	4918620	"Higley Unified School District"	"Synergy"			"Manually Created Terms not Being Overwritten by Sync"	"6/10/2021 3:35 PM"	"6/8/2021 2:37 PM"	"6/10/2021 3:02 PM"	"Alexander Rodriguez"	"Closed"
"6/10/2021 3:07 PM"	4920647	"Wylie ISD"	"Skyward"			"Mobile app is not displaying grade information"	"6/16/2021 11:27 AM"	"6/11/2021 8:11 AM"	"6/16/2021 9:35 AM"	"Alexander Rodriguez"	"Closed"
"6/15/2021 12:22 PM"	4923036	"Hutto Ind School District"				"Update Datalink for Student ID"	"6/25/2021 3:47 PM"	"6/15/2021 12:22 PM"	"6/25/2021 3:47 PM"	"Alexander Rodriguez"	"Closed"
"6/25/2021 2:15 PM"	4930068	"Phoenix School District"	"Other"			"unable to copy or access Lunch Balance data source file on FTP server"	"6/28/2021 4:33 PM"	"6/25/2021 2:15 PM"		"Alexander Rodriguez"	"Pending User"
"6/16/2021 3:08 PM"	4924102	"Monroe County Public Schools"	"Focus"			"Cell/Home numbers"	"6/28/2021 11:10 AM"	"6/17/2021 8:20 AM"	"6/28/2021 11:10 AM"	"Alexander Rodriguez"	"Solution Suggested"
"6/9/2021 3:49 PM"	4919831	"Yorkville School District 115"	"eSchoolPLUS"			"Accounts"	"6/14/2021 10:03 AM"	"6/9/2021 3:49 PM"	"6/14/2021 9:44 AM"	"Douglas Carmona"	"Closed"
"6/1/2021 2:54 PM"	4914207	"Clarkstown Central School District"	"eSchoolData"			"Attendance message"	"6/28/2021 10:35 AM"	"6/1/2021 2:54 PM"		"Douglas Carmona"	"Pending User"
"5/28/2021 2:53 PM"	4912623	"Jefferson City School District"	"Infinite Campus"			"Blackboard - Switch to New SY"	"6/7/2021 10:46 AM"	"5/28/2021 2:55 PM"	"6/7/2021 10:46 AM"	"Douglas Carmona"	"Solution Suggested"
"6/8/2021 11:37 AM"	4918528	"St. Helena Unified School District"	"Aeries"			"FW: automated message glitch/errors"	"6/15/2021 2:04 PM"	"6/8/2021 11:57 AM"	"6/15/2021 2:04 PM"	"Douglas Carmona"	"Solution Suggested"
"6/9/2021 1:52 PM"	4919673	"Clarkstown Central School District"	"eSchoolData"			"Merging parent accounts"	"6/28/2021 10:48 AM"	"6/9/2021 1:52 PM"	"6/28/2021 10:48 AM"	"Douglas Carmona"	"Solution Suggested"
"6/16/2021 9:39 AM"	4923707	"Lower Hudson Regional Information Center"	"Other"			"Help with SFTP"	"6/22/2021 2:53 PM"	"6/16/2021 10:55 AM"	"6/22/2021 2:53 PM"	"Douglas Carmona"	"Solution Suggested"
"3/17/2021 5:03 PM"	4869762	"Columbia Heights Isd 13"	"Other"			"Automated Bus Groups"	"5/14/2021 2:47 PM"	"3/17/2021 6:55 PM"	"4/14/2021 2:37 PM"	"Fabricio Chungo"	"Closed"
"3/18/2021 3:03 PM"	4870430	"Downingtown Area School District"	"Infinite Campus"			"Language"	"6/16/2021 4:18 PM"	"3/18/2021 3:03 PM"	"5/17/2021 4:17 PM"	"Fabricio Chungo"	"Closed"
"11/2/2020 5:06 PM"	4772405	"Antioch Unified School District"	"Aeries"			"Removal of Teacher Accounts"	"11/28/2020 1:32 PM"	"11/3/2020 5:09 PM"	"11/28/2020 1:32 PM"	"Fabricio Chungo"	"Closed"
"11/6/2020 9:43 AM"	4776300	"Bronx High School of Science"	"Other"			"Students with the same name"	"11/16/2020 8:43 AM"	"11/6/2020 10:56 AM"	"11/16/2020 7:32 AM"	"Fabricio Chungo"	"Closed"
"11/11/2020 5:08 PM"	4780860	"Natalia Ind School District"	"TxEIS"			"Natalia ISD"	"11/29/2020 2:17 PM"	"11/12/2020 8:13 AM"	"11/29/2020 2:17 PM"	"Fabricio Chungo"	"Closed"
